lat,lon,filename,geometry,index_right
28.8767,77.5733,28.8767_77.5733.png,POINT (77.5733 28.8767),25
28.2056,77.0909,28.2056_77.0909.png,POINT (77.0909 28.2056),16
28.7354,77.6322,28.7354_77.6322.png,POINT (77.6322 28.7354),24
28.959,77.6443,28.9590_77.6443.png,POINT (77.6443 28.959),25
28.6557,77.3233,28.6557_77.3233.png,POINT (77.3233 28.6557),17
28.9266,77.391,28.9266_77.3910.png,POINT (77.391 28.9266),25
28.3354,77.141,28.3354_77.1410.png,POINT (77.141 28.3354),17
28.5854,77.3057,28.5854_77.3057.png,POINT (77.3057 28.5854),17
28.209,77.1234,28.2090_77.1234.png,POINT (77.1234 28.209),16
28.5942,77.2322,28.5942_77.2322.png,POINT (77.2322 28.5942),17
28.4942,77.4409,28.4942_77.4409.png,POINT (77.4409 28.4942),24
28.2178,77.3822,28.2178_77.3822.png,POINT (77.3822 28.2178),23
28.5942,77.2444,28.5942_77.2444.png,POINT (77.2444 28.5942),17
28.7442,77.5058,28.7442_77.5058.png,POINT (77.5058 28.7442),24
28.7266,77.5234,28.7266_77.5234.png,POINT (77.5234 28.7266),24
28.7767,77.4822,28.7767_77.4822.png,POINT (77.4822 28.7767),24
28.8591,77.4558,28.8591_77.4558.png,POINT (77.4558 28.8591),24
28.9766,77.4321,28.9766_77.4321.png,POINT (77.4321 28.9766),25
28.6091,77.2322,28.6091_77.2322.png,POINT (77.2322 28.6091),17
28.8442,77.1943,28.8442_77.1943.png,POINT (77.1943 28.8442),17
28.6091,77.2444,28.6091_77.2444.png,POINT (77.2444 28.6091),17
28.8591,77.0058,28.8591_77.0058.png,POINT (77.0058 28.8591),17
28.9678,76.9944,28.9678_76.9944.png,POINT (76.9944 28.9678),18
28.309,77.1146,28.3090_77.1146.png,POINT (77.1146 28.309),16
28.3266,76.9321,28.3266_76.9321.png,POINT (76.9321 28.3266),17
28.5179,77.1645,28.5179_77.1645.png,POINT (77.1645 28.5179),17
28.809,77.0944,28.8090_77.0944.png,POINT (77.0944 28.809),17
28.4556,77.1821,28.4556_77.1821.png,POINT (77.1821 28.4556),17
28.6179,76.991,28.6179_76.9910.png,POINT (76.991 28.6179),17
28.9854,77.1146,28.9854_77.1146.png,POINT (77.1146 28.9854),18
28.5179,77.3734,28.5179_77.3734.png,POINT (77.3734 28.5179),24
28.9354,76.9822,28.9354_76.9822.png,POINT (76.9822 28.9354),18
28.8855,76.8646,28.8855_76.8646.png,POINT (76.8646 28.8855),18
